imagevcoAtom,sfiIntegral,Timestamp,GHz_Synth,UV_Power,Spec_Power,DigiLock_PID1_locked,AI3,AI4,AI5,AI6,AI7,numberAtom,tempXAtom,tempYAtom
1506.7,21,2019.03.27-20:16:00,1506.7,1.47636108398438,0.39100341796875,4.9495361328125,0.0051025390625,0.000457763671875,0.00032958984375,0.00025634765625,0.0001708984375,257834.8,7.936337e-07,7.517675e-07
1506.75,45,2019.03.27-20:16:18,1506.75,1.47933349609375,0.389129638671875,4.94943237304688,0.00517578125,0.000506591796875,0.000421142578125,0.00025634765625,0.000201416015625,254845.4,8.22673e-07,7.499933e-07
1506.8,45,2019.03.27-20:16:36,1506.8,1.46951293945313,0.389996337890625,4.949462890625,0.00509033203125,0.000518798828125,0.000347900390625,0.000201416015625,0.00020751953125,272674.7,8.333224e-07,7.381902e-07
1506.85,60,2019.03.27-20:16:55,1506.85,1.46759033203125,0.3900146484375,4.94947509765625,0.005181884765625,0.000531005859375,0.000335693359375,0.00023193359375,0.000189208984375,291489.5,9.031513e-07,8.366531e-07
1506.9,71,2019.03.27-20:17:13,1506.9,1.45501098632813,0.389654541015625,4.94951171875,0.005078125,0.000537109375,0.000341796875,0.00020751953125,0.000152587890625,262990.1,8.320574e-07,7.639255e-07
1506.95,67,2019.03.27-20:17:31,1506.95,1.48379516601563,0.3898193359375,4.94950561523437,0.005194091796875,0.0005126953125,0.000323486328125,0.000335693359375,0.000244140625,255432.8,8.586198e-07,8.341684e-07
1507,70,2019.03.27-20:17:50,1507,1.45707397460938,0.38883056640625,4.94942626953125,0.0051025390625,0.000518798828125,0.000433349609375,0.00029296875,0.000323486328125,275460.8,7.648035e-07,7.581832e-07
1507.05,74,2019.03.27-20:18:08,1507.05,1.47070922851562,0.38841552734375,4.94950561523437,0.0051513671875,0.000653076171875,0.000390625,0.00028076171875,0.00037841796875,270741.9,7.760493e-07,7.486177e-07
1507.1,79,2019.03.27-20:18:26,1507.1,1.481494140625,0.38787841796875,4.94954223632813,0.005108642578125,0.000433349609375,0.000360107421875,0.00029296875,0.000225830078125,279276,8.485949e-07,8.205533e-07
1507.15,197,2019.03.27-20:18:45,1507.15,1.46054077148438,0.388519287109375,4.94931640625,0.004974365234375,0.00037841796875,0.00015869140625,0.00020751953125,0.00018310546875,293429,8.279731e-07,7.725698e-07
1507.2,148,2019.03.27-20:19:03,1507.2,1.45972290039062,0.3904052734375,4.94953002929688,0.005108642578125,0.000482177734375,0.0002685546875,0.000311279296875,0.000299072265625,272515.1,7.910424e-07,7.562679e-07
1507.25,144,2019.03.27-20:19:21,1507.25,1.46825561523438,0.3919189453125,4.949462890625,0.00518798828125,0.00054931640625,0.00040283203125,0.00030517578125,0.00030517578125,271454.3,8.163561e-07,7.813715e-07
1507.3,223,2019.03.27-20:19:40,1507.3,1.47183227539063,0.390753173828125,4.94954833984375,0.0051513671875,0.000555419921875,0.00042724609375,0.000347900390625,0.00029296875,272716.4,7.809323e-07,7.793282e-07
1507.35,236,2019.03.27-20:19:58,1507.35,1.47398071289063,0.391168212890625,4.9494384765625,0.0052001953125,0.000537109375,0.000408935546875,0.00032958984375,0.000311279296875,255485.6,7.860615e-07,7.352793e-07
1507.4,743,2019.03.27-20:20:16,1507.4,1.466796875,0.390069580078125,4.94951782226562,0.005084228515625,0.000445556640625,0.000299072265625,0.000250244140625,0.00015869140625,276258.5,8.207566e-07,7.553509e-07
1507.45,715,2019.03.27-20:20:35,1507.45,1.47820434570313,0.389697265625,4.9495361328125,0.00513916015625,0.000445556640625,0.000390625,0.000286865234375,0.000311279296875,282338.5,7.757013e-07,7.625862e-07
1507.5,1583,2019.03.27-20:20:53,1507.5,1.49627075195313,0.38948974609375,4.94946899414063,0.005108642578125,0.000653076171875,0.000347900390625,0.000384521484375,0.00023193359375,252034,8.298043e-07,7.747582e-07
1507.55,3889,2019.03.27-20:21:11,1507.55,1.49443359375,0.389544677734375,4.949462890625,0.005096435546875,0.000506591796875,0.000360107421875,0.00032958984375,0.000299072265625,263242.9,8.053609e-07,7.791054e-07
1507.6,6900,2019.03.27-20:21:29,1507.6,1.47061767578125,0.3884033203125,4.94954223632813,0.00517578125,0.00050048828125,0.00032958984375,0.000244140625,0.000250244140625,234291.6,8.1333e-07,7.771543e-07
1507.65,25229,2019.03.27-20:21:48,1507.65,1.46915283203125,0.38792724609375,4.94943237304688,0.00518798828125,0.000604248046875,0.000372314453125,0.00025634765625,0.0003173828125,203090,8.530071e-07,7.643406e-07
1507.7,21696,2019.03.27-20:22:06,1507.7,1.487548828125,0.38851318359375,4.94951171875,0.005145263671875,0.000579833984375,0.000360107421875,0.0002685546875,0.000238037109375,204875.2,9.822975e-07,7.407053e-07
1507.75,8908,2019.03.27-20:22:25,1507.75,1.48505249023437,0.38702392578125,4.94956665039062,0.005169677734375,0.00059814453125,0.000421142578125,0.00028076171875,0.000299072265625,239445.2,8.466758e-07,8.139522e-07
1507.8,1397,2019.03.27-20:22:43,1507.8,1.46644897460938,0.391180419921875,4.94950561523437,0.005084228515625,0.000494384765625,0.000347900390625,0.00018310546875,0.000213623046875,240525.3,7.976717e-07,7.439126e-07
