# detuning (MHz)             polarized                 unpolarized
  -24.853369987688335        1.4458016403875527E-003   3.8206990858931697E-004
  -24.845084150052834        1.4513301251736614E-003   3.8350993684986524E-004
  -24.836798312417333        1.4568915639320478E-003   3.8495852214198841E-004
  -24.828512474781832        1.4624862214426945E-003   3.8641573320858286E-004
  -24.820226637146330        1.4681143651553478E-003   3.8788163948605755E-004
  -24.811940799510825        1.4737762652218787E-003   3.8935631111274228E-004
  -24.803654961875324        1.4794721945290612E-003   3.9083981893742116E-004
  -24.795369124239823        1.4852024287319461E-003   3.9233223452799117E-004
  -24.787083286604322        1.4909672462875678E-003   3.9383363018024458E-004
  -24.778797448968817        1.4967669284892367E-003   3.9534407892676470E-004
  -24.770511611333315        1.5026017595012747E-003   3.9686365454596459E-004
  -24.762225773697814        1.5084720263942254E-003   3.9839243157124702E-004
  -24.753939936062313        1.5143780191806408E-003   3.9993048530029772E-004
  -24.745654098426812        1.5203200308513290E-003   4.0147789180450916E-004
  -24.737368260791307        1.5262983574121170E-003   4.0303472793854931E-004
  -24.729082423155806        1.5323132979211693E-003   4.0460107135004933E-004
  -24.720796585520304        1.5383651545268768E-003   4.0617700048946282E-004
  -24.712510747884803        1.5444542325061862E-003   4.0776259462003088E-004
  -24.704224910249302        1.5505808403036272E-003   4.0935793382792450E-004
  -24.695939072613797        1.5567452895707931E-003   4.1096309903251507E-004
  -24.687653234978296        1.5629478952064720E-003   4.1257817199679710E-004
  -24.679367397342794        1.5691889753973035E-003   4.1420323533797841E-004
  -24.671081559707293        1.5754688516591059E-003   4.1583837253819948E-004
  -24.662795722071792        1.5817878488787050E-003   4.1748366795543674E-004
  -24.654509884436287        1.5881462953565096E-003   4.1913920683455096E-004
  -24.646224046800786        1.5945445228495636E-003   4.2080507531849109E-004
  -24.637938209165284        1.6009828666154161E-003   4.2248136045969827E-004
  -24.629652371529783        1.6074616654564284E-003   4.2416815023163084E-004
  -24.621366533894282        1.6139812617649298E-003   4.2586553354049715E-004
  -24.613080696258777        1.6205420015689247E-003   4.2757360023714915E-004
  -24.604794858623276        1.6271442345785246E-003   4.2929244112915313E-004
  -24.596509020987774        1.6337883142330889E-003   4.3102214799303876E-004
  -24.588223183352273        1.6404745977489981E-003   4.3276281358674225E-004
  -24.579937345716768        1.6472034461682762E-003   4.3451453166222840E-004
  -24.571651508081267        1.6539752244077604E-003   4.3627739697828726E-004
  -24.563365670445766        1.6607903013091860E-003   4.3805150531355783E-004
  -24.555079832810264        1.6676490496899507E-003   4.3983695347972539E-004
  -24.546793995174763        1.6745518463945873E-003   4.4163383933491372E-004
  -24.538508157539258        1.6814990723471473E-003   4.4344226179729771E-004
  -24.530222319903757        1.6884911126042721E-003   4.4526232085891082E-004
  -24.521936482268256        1.6955283564091168E-003   4.4709411759966957E-004
  -24.513650644632754        1.7026111972460879E-003   4.4893775420160693E-004
  -24.505364806997253        1.7097400328964230E-003   4.5079333396332163E-004
  -24.497078969361748        1.7169152654946016E-003   4.5266096131465691E-004
  -24.488793131726247        1.7241373015856728E-003   4.5454074183160463E-004
  -24.480507294090746        1.7314065521833793E-003   4.5643278225142411E-004
  -24.472221456455244        1.7387234328292789E-003   4.5833719048801475E-004
  -24.463935618819740        1.7460883636526872E-003   4.6025407564751056E-004
  -24.455649781184238        1.7535017694315989E-003   4.6218354804412334E-004
  -24.447363943548737        1.7609640796545660E-003   4.6412571921622978E-004
  -24.439078105913236        1.7684757285834855E-003   4.6608070194271566E-004
  -24.430792268277735        1.7760371553174309E-003   4.6804861025956330E-004
  -24.422506430642230        1.7836488038574232E-003   4.7002955947670694E-004
  -24.414220593006728        1.7913111231722336E-003   4.7202366619514567E-004
  -24.405934755371227        1.7990245672652473E-003   4.7403104832433588E-004
  -24.397648917735726        1.8067895952423516E-003   4.7605182509984838E-004
  -24.389363080100225        1.8146066713808874E-003   4.7808611710130111E-004
  -24.381077242464720        1.8224762651997000E-003   4.8013404627058541E-004
  -24.372791404829218        1.8303988515303352E-003   4.8219573593038091E-004
  -24.364505567193717        1.8383749105892896E-003   4.8427131080294885E-004
  -24.356219729558216        1.8464049280514426E-003   4.8636089702924225E-004
  -24.347933891922715        1.8544893951247397E-003   4.8846462218831571E-004
  -24.339648054287210        1.8626288086259107E-003   4.9058261531704150E-004
  -24.331362216651709        1.8708236710575337E-003   4.9271500693014397E-004
  -24.323076379016207        1.8790744906862743E-003   4.9486192904055464E-004
  -24.314790541380706        1.8873817816224042E-003   4.9702351518010157E-004
  -24.306504703745205        1.8957460639005979E-003   4.9919990042052544E-004
  -24.298218866109700        1.9041678635620173E-003   5.0139122139483455E-004
  -24.289933028474199        1.9126477127377553E-003   5.0359761631901139E-004
  -24.281647190838697        1.9211861497336136E-003   5.0581922501407044E-004
  -24.273361353203196        1.9297837191162796E-003   5.0805618892847671E-004
  -24.265075515567691        1.9384409718008646E-003   5.1030865116091903E-004
  -24.256789677932190        1.9471584651399279E-003   5.1257675648347194E-004
  -24.248503840296689        1.9559367630139317E-003   5.1486065136512949E-004
  -24.240218002661187        1.9647764359231957E-003   5.1716048399572969E-004
  -24.231932165025686        1.9736780610813513E-003   5.1947640431026447E-004
  -24.223646327390181        1.9826422225103146E-003   5.2180856401360255E-004
  -24.215360489754680        1.9916695111368886E-003   5.2415711660560476E-004
  -24.207074652119179        2.0007605248909283E-003   5.2652221740668453E-004
  -24.198788814483677        2.0099158688051608E-003   5.2890402358376414E-004
  -24.190502976848176        2.0191361551165944E-003   5.3130269417667772E-004
  -24.182217139212671        2.0284220033697916E-003   5.3371839012502156E-004
  -24.173931301577170        2.0377740405216117E-003   5.3615127429543035E-004
  -24.165645463941669        2.0471929010479951E-003   5.3860151150934897E-004
  -24.157359626306167        2.0566792270523141E-003   5.4106926857123278E-004
  -24.149073788670663        2.0662336683756866E-003   5.4355471429724735E-004
  -24.140787951035161        2.0758568827090830E-003   5.4605801954445002E-004
  -24.132502113399660        2.0855495357073872E-003   5.4857935724046149E-004
  -24.124216275764159        2.0953123011053379E-003   5.5111890241364182E-004
  -24.115930438128657        2.1051458608355058E-003   5.5367683222379142E-004
  -24.107644600493153        2.1150509051481932E-003   5.5625332599335171E-004
  -24.099358762857651        2.1250281327334876E-003   5.5884856523917017E-004
  -24.091072925222150        2.1350782508453496E-003   5.6146273370479320E-004
  -24.082787087586649        2.1452019754278477E-003   5.6409601739331014E-004
  -24.074501249951147        2.1554000312435455E-003   5.6674860460078215E-004
  -24.066215412315643        2.1656731520041323E-003   5.6942068595023103E-004
  -24.057929574680141        2.1760220805033354E-003   5.7211245442621730E-004
  -24.049643737044640        2.1864475687520721E-003   5.7482410541004369E-004
