# detuning (MHz)             polarized                 unpolarized
  -46.087286658435353        4.2477388062716015E-004   1.3807997152788959E-004
  -46.071921668717593        4.2638273761110430E-004   1.3859729855916916E-004
  -46.056556678999826        4.2800116430306747E-004   1.3911769735873235E-004
  -46.041191689282059        4.2962923754273136E-004   1.3964119261083863E-004
  -46.025826699564298        4.3126703494438196E-004   1.4016780924894221E-004
  -46.010461709846531        4.3291463490629622E-004   1.4069757245871833E-004
  -45.995096720128764        4.3457211662028085E-004   1.4123050768113409E-004
  -45.979731730411004        4.3623956008130885E-004   1.4176664061555915E-004
  -45.964366740693237        4.3791704609734704E-004   1.4230599722292651E-004
  -45.949001750975469        4.3960465629927904E-004   1.4284860372893484E-004
  -45.933636761257709        4.4130247315098825E-004   1.4339448662729464E-004
  -45.918271771539942        4.4301057995959324E-004   1.4394367268302894E-004
  -45.902906781822175        4.4472906088580594E-004   1.4449618893581126E-004
  -45.887541792104415        4.4645800095446681E-004   1.4505206270335952E-004
  -45.872176802386647        4.4819748606521109E-004   1.4561132158487545E-004
  -45.856811812668880        4.4994760300329575E-004   1.4617399346453171E-004
  -45.841446822951120        4.5170843945058789E-004   1.4674010651501680E-004
  -45.826081833233353        4.5348008399670675E-004   1.4730968920112372E-004
  -45.810716843515586        4.5526262615032571E-004   1.4788277028339325E-004
  -45.795351853797825        4.5705615635064820E-004   1.4845937882181442E-004
  -45.779986864080058        4.5886076597903926E-004   1.4903954417957316E-004
  -45.764621874362298        4.6067654737083993E-004   1.4962329602685742E-004
  -45.749256884644531        4.6250359382733693E-004   1.5021066434472345E-004
  -45.733891894926764        4.6434199962793273E-004   1.5080167942900901E-004
  -45.718526905209004        4.6619186004247053E-004   1.5139637189431424E-004
  -45.703161915491236        4.6805327134375455E-004   1.5199477267803586E-004
  -45.687796925773469        4.6992633082025754E-004   1.5259691304446118E-004
  -45.672431936055709        4.7181113678899765E-004   1.5320282458892339E-004
  -45.657066946337942        4.7370778860863474E-004   1.5381253924202118E-004
