imagevcoAtom,wavemeterAtom,winTotNum,atomTempX,atomTempY
5.5,20776.053,47325.5735868088,1.39884035334745e-06,1.14248066077778e-06
5.505,20776.053,58839.5455737236,1.43614866314667e-06,1.5752390467277e-06
5.51,20776.054,64139.2301478534,2.49232111256516e-06,1.61988701324634e-06
5.515,20776.054,46166.5157529441,2.17510149992802e-06,1.11123239545543e-06
5.52,20776.054,57272.0133731265,1.83958373430474e-06,1.36979174422036e-06
5.53,20776.055,73298.4641645319,1.84912693371304e-06,1.59868547819889e-06
5.535,20776.056,75977.4446592895,1.80497333639623e-06,1.64902327137099e-06
5.54,20776.058,59173.9394986554,2.31104870208644e-06,1.08931906398094e-06
5.545,20776.057,68753.7369248003,1.77119710085065e-06,1.27287770658347e-06
5.55,20776.059,87337.249255662,1.53756688538e-06,1.33029280462985e-06
5.555,20776.059,82055.5907654794,1.79809069886343e-06,1.20002745775515e-06
5.565,20776.061,104444.153649674,1.97970851131769e-06,1.09527378538255e-06
5.57,20776.062,114671.963577779,1.80497333639623e-06,1.2844746428374e-06
5.575,20776.062,136399.123011227,1.60132803235339e-06,1.06487841153505e-06
5.58,20776.065,150235.433107951,1.68679530027505e-06,1.19337911897784e-06
5.585,20776.064,208591.106765478,1.67768116615498e-06,1.28124799648461e-06
5.59,20776.064,197013.032816209,2.01918488940698e-06,1.52604913079762e-06
5.595,20776.066,246946.952876133,1.98934016227095e-06,1.20481735824537e-06
5.6,20776.067,258528.833390824,1.58072622565256e-06,1.21107939218161e-06
5.605,20776.069,365713.731751304,1.92662496000169e-06,1.3091297648057e-06
5.61,20776.069,443473.648684933,1.93058120310263e-06,1.29655664235022e-06
5.615,20776.071,564809.833924785,1.70782668625514e-06,1.37825135133557e-06
5.62,20776.071,1125006.5304171,2.02755959782754e-06,1.2939628812745e-06
5.625,20776.072,1248609.37206371,1.99014385488462e-06,1.36268806349034e-06
5.63,20776.073,1317612.5951528,1.87400280130481e-06,1.33577469936617e-06
5.635,20776.074,2216139.17277432,2.08282877428529e-06,1.3974929393752e-06
5.64,20776.075,4109288.91655287,2.07652941738599e-06,1.58168149151724e-06
5.645,20776.076,4211878.00848642,2.30124269094628e-06,1.68654864769994e-06
5.65,20776.077,2646746.19972122,2.18126802170562e-06,1.57929386789873e-06
5.655,20776.079,1746528.72968548,2.06614268655011e-06,1.49152372175763e-06
5.66,20776.079,1283727.86434963,1.88728570931012e-06,1.41641581690357e-06
5.665,20776.08,565745.285192243,1.69840831452926e-06,1.2799584741342e-06
5.67,20776.081,539572.740190562,2.06668870734227e-06,1.36290977397416e-06
5.675,20776.083,435824.884870779,1.63879604006893e-06,1.261973332671e-06
5.68,20776.085,338936.631138514,1.83829600641426e-06,1.33401926668597e-06
5.685,20776.086,279393.374345999,1.74400448629889e-06,1.31456792521711e-06
