imagevcoAtom,wavemeterAtom,winTotNum,atomTempX,atomTempY
5.5,20776.053,64062.1186393781,2.84104035919294e-06,1.74375368572595e-06
5.505,20776.054,50618.8440149716,2.83624062975135e-06,1.19192725661684e-06
5.51,20776.055,50596.821499987,2.00759705169611e-06,1.18695615174332e-06
5.515,20776.054,57794.8288963773,1.96157916380832e-06,1.3657936514283e-06
5.525,20776.055,59602.1505960806,1.75556080824367e-06,1.18323464023242e-06
5.53,20776.056,79789.2130394613,1.65781479045141e-06,1.34853610485343e-06
5.535,20776.057,64637.8933175005,2.0208044481062e-06,1.39210977600454e-06
5.54,20776.057,70702.4469783566,1.71453451273171e-06,1.34148782694655e-06
5.545,20776.058,84964.6105724979,2.16363263761568e-06,1.36313150249277e-06
5.55,20776.058,66449.4784187725,2.30095459446245e-06,1.03800436321637e-06
5.555,20776.059,104811.207673085,2.23346818474536e-06,1.58765844077678e-06
5.56,20776.061,103139.220199473,2.13301229800778e-06,1.56857187964722e-06
5.565,20776.06,106864.276370279,1.5545694924015e-06,1.45670559933188e-06
5.575,20776.062,137978.036496303,2.1106041013752e-06,1.31173867509087e-06
5.58,20776.063,158894.538917394,1.96317545765016e-06,1.26987967803262e-06
5.585,20776.064,147164.741163459,1.84861045387932e-06,1.33906924663991e-06
5.59,20776.064,186312.780605177,1.82236563879615e-06,1.01300239649068e-06
5.595,20776.065,204958.597778394,1.82852400885628e-06,1.19254937513435e-06
5.6,20776.066,284593.694970448,1.99899518629022e-06,1.31958098799039e-06
5.605,20776.068,327790.388044129,1.87400280130481e-06,1.50640515089927e-06
5.61,20776.068,496033.666196037,1.97196667915682e-06,1.37401829250141e-06
5.615,20776.069,496470.273465602,1.82826720270388e-06,1.220712702334e-06
5.62,20776.07,1009755.24106135,2.02810049674413e-06,1.33051186400202e-06
5.625,20776.071,902678.702209721,1.96104721013922e-06,1.27630835327285e-06
5.63,20776.072,2016722.17132228,2.05414848031303e-06,1.39614617465478e-06
5.635,20776.073,1721792.07846161,1.79656300929869e-06,1.41845081561989e-06
5.64,20776.074,4234801.17450161,2.34146358054112e-06,1.72973763713957e-06
5.645,20776.076,3804928.50688663,2.32463839961795e-06,1.59460582314522e-06
5.65,20776.076,3509462.63291699,2.11143192451535e-06,1.59053138014099e-06
5.655,20776.078,2839590.65145987,1.97330039571886e-06,1.46014595774661e-06
5.66,20776.078,969867.879378486,1.82647006461075e-06,1.38852677155151e-06
5.665,20776.08,1222119.36935892,2.12663744754804e-06,1.46496927667149e-06
5.67,20776.081,510669.753097503,1.808802704868e-06,1.32854097890428e-06
5.675,20776.082,499848.03894682,1.71751998908044e-06,1.24665878041717e-06
5.68,20776.084,287146.851514697,1.76034520812807e-06,1.271164114577e-06
5.685,20776.084,282625.247328093,2.01513883313571e-06,1.33906924663991e-06
