 #Wavefunction nu=           0
 # R (nm)   R psi(R)    E(MHz)
   1.7038258482756936E-004   2.8027613346887598E-018  -3.5773431967210421     
   5.7117441210090909E-004   8.8851966034755109E-018  -3.5773431967210421     
   1.2010986030487115E-003   1.9058874116079206E-017  -3.5773431967210421     
   2.0601059782584591E-003   3.2877052298557784E-017  -3.5773431967210421     
   3.1481872876549010E-003   4.8510253521466061E-017  -3.5773431967210421     
   4.4653392533315194E-003   6.6326504765288266E-017  -3.5773431967210421     
   6.0115599652261036E-003   9.1513495668191694E-017  -3.5773431967210421     
   7.7868478487012676E-003   1.1418754681349526E-016  -3.5773431967210421     
   9.7912013565272567E-003   1.5016444019810920E-016  -3.5773431967210421     
   1.2024618857953291E-002   1.7983531884829777E-016  -3.5773431967210421     
   1.4487098592844560E-002   2.2061641545429763E-016  -3.5773431967210421     
   1.7178638650777095E-002   2.6689280511250021E-016  -3.5773431967210421     
   2.0099236960564388E-002   3.1255249235300530E-016  -3.5773431967210421     
   2.3248891284788364E-002   3.4352268048542775E-016  -3.5773431967210421     
   2.6627599216616751E-002   3.9581007203488584E-016  -3.5773431967210421     
   3.0235358178053902E-002   4.4402577509376924E-016  -3.5773431967210421     
   3.4072165418746948E-002   4.9433602028349490E-016  -3.5773431967210421     
   3.8138018015263668E-002   5.5553642048064576E-016  -3.5773431967210421     
   4.2432912870641382E-002   6.2464696756475015E-016  -3.5773431967210421     
   4.6956846713980989E-002   6.9632522793980128E-016  -3.5773431967210421     
   5.1709816100253561E-002   7.3212507492489120E-016  -3.5773431967210421     
   5.6691817410068499E-002   8.2989957765286942E-016  -3.5773431967210421     
   6.1902846849503583E-002   8.7143249087582157E-016  -3.5773431967210421     
   6.7342900450030385E-002   8.6616987236554423E-016  -3.5773431967210421     
   7.3011974068334581E-002   9.5955836709574809E-016  -3.5773431967210421     
   7.8910063386256377E-002   9.6369006059362461E-016  -3.5773431967210421     
   8.5037163910659408E-002   1.0708970592883570E-015  -3.5773431967210421     
   9.1393270973353063E-002   1.1376987668058254E-015  -3.5773431967210421     
   9.7978379731018153E-002   1.1562706449072158E-015  -3.5773431967210421     
