 #Wavefunction nu=           0
 # R (nm)   R psi(R)    E(MHz)
   1.5401912035721828E-004   2.1897123793308663E-018  -4.9164519425822464     
   5.1631908631602540E-004   7.8775084916291346E-018  -4.9164519425822464     
   1.0857456499504458E-003   1.6694437655566214E-017  -4.9164519425822464     
   1.8622543550159438E-003   3.1329297307354022E-017  -4.9164519425822464     
   2.8458368398102088E-003   4.6278945464575326E-017  -4.9164519425822464     
   4.0364901412353448E-003   7.5914781029563864E-017  -4.9164519425822464     
   5.4342125326706297E-003   1.0373551790967507E-016  -4.9164519425822464     
   7.0390025907061246E-003   1.3811348651782131E-016  -4.9164519425822464     
   8.8508589167073017E-003   1.5673176860043679E-016  -4.9164519425822464     
   1.0869780036539930E-002   2.2406407805796249E-016  -4.9164519425822464     
   1.3095764359111731E-002   2.5051928900428720E-016  -4.9164519425822464     
   1.5528810157474964E-002   2.9107003823676193E-016  -4.9164519425822464     
   1.8168915559358921E-002   3.5786037099994696E-016  -4.9164519425822464     
   2.1016078542226119E-002   3.9900944378993396E-016  -4.9164519425822464     
   2.4070296930395342E-002   4.5935072940056415E-016  -4.9164519425822464     
   2.7331568393460442E-002   4.7813187685221286E-016  -4.9164519425822464     
   3.0799890445211177E-002   5.8137570539989428E-016  -4.9164519425822464     
   3.4475260442980403E-002   6.3423529651697566E-016  -4.9164519425822464     
   3.8357675587236281E-002   6.8364274925676355E-016  -4.9164519425822464     
   4.2447132921215353E-002   7.8401776728936790E-016  -4.9164519425822464     
   4.6743629330747681E-002   7.9110644948975786E-016  -4.9164519425822464     
   5.1247161544047272E-002   8.6325729559957959E-016  -4.9164519425822464     
   5.5957726131558382E-002   9.6532012075204640E-016  -4.9164519425822464     
   6.0875319505888308E-002   1.0339471739885185E-015  -4.9164519425822464     
   6.5999937921644602E-002   1.0927668925189543E-015  -4.9164519425822464     
   7.1331577475381602E-002   1.1216464188572605E-015  -4.9164519425822464     
   7.6870234105481702E-002   1.1295178097783520E-015  -4.9164519425822464     
   8.2615903592085066E-002   1.3007794821293761E-015  -4.9164519425822464     
   8.8568581557022727E-002   1.3210068498367769E-015  -4.9164519425822464     
   9.4728263463676673E-002   1.4582991471338621E-015  -4.9164519425822464     
  0.10109494461697197        1.4989777073527877E-015  -4.9164519425822464     
  0.10766862016323561        1.5450469090171334E-015  -4.9164519425822464     
  0.11444928509013413        1.5830207519686106E-015  -4.9164519425822464     
  0.12143693422659163        1.6609854667931958E-015  -4.9164519425822464     
  0.12863156224268818        1.7230689878050983E-015  -4.9164519425822464     
  0.13603316364959148        1.8232168712868864E-015  -4.9164519425822464     
  0.14364173279943115        1.8682904686437218E-015  -4.9164519425822464     
  0.15145726388523675        1.8722675169211295E-015  -4.9164519425822464     
  0.15947975094083311        1.8873980171312515E-015  -4.9164519425822464     
  0.16770918784073163        1.9097386449647087E-015  -4.9164519425822464     
  0.17614556830003184        1.9822262775391837E-015  -4.9164519425822464     
  0.18478888587434147        1.9677306192245561E-015  -4.9164519425822464     
  0.19363913395962373        2.0740146604477108E-015  -4.9164519425822464     
  0.20269630579214620        2.0531060761422488E-015  -4.9164519425822464     
  0.21196039444832665        2.0217856920379551E-015  -4.9164519425822464     
  0.22143139284462754        2.0564845094703456E-015  -4.9164519425822464     
  0.23110929373746872        2.0886470734694890E-015  -4.9164519425822464     
  0.24099408972306746        2.0854887126666935E-015  -4.9164519425822464     
  0.25108577323734976        2.0887643720265273E-015  -4.9164519425822464     
