 #Wavefunction nu=           0
 # R (nm)   R psi(R)    E(MHz)
   8.4590561130700026E-005   1.7682996582803125E-018  -30.810273627617697     
   2.8357337149222345E-004   5.3573692387332687E-018  -30.810273627617697     
   5.9631449369085070E-004   1.2928703150063620E-017  -30.810273627617697     
   1.0227895114160465E-003   2.0151178664949626E-017  -30.810273627617697     
   1.5629938322439033E-003   3.1087223571410295E-017  -30.810273627617697     
   2.2169258287783357E-003   4.5336462833587888E-017  -30.810273627617697     
   2.9845845527226942E-003   6.0991028965182390E-017  -30.810273627617697     
   3.8659692223101095E-003   8.4578064417162953E-017  -30.810273627617697     
   4.8610790693808933E-003   9.8956385976894180E-017  -30.810273627617697     
   5.9699132843093229E-003   1.2618702744825544E-016  -30.810273627617697     
   7.1924709932338357E-003   1.5708786815563208E-016  -30.810273627617697     
   8.5287512476781811E-003   1.9620393594806819E-016  -30.810273627617697     
   9.9787530193516539E-003   2.1420924087710564E-016  -30.810273627617697     
   1.1542475197433856E-002   1.9943899101300250E-016  -30.810273627617697     
   1.3219916586994604E-002   2.5743348289417899E-016  -30.810273627617697     
   1.5011075908125523E-002   2.5969331811689498E-016  -30.810273627617697     
   1.6915951795347307E-002   2.9281315080466356E-016  -30.810273627617697     
   1.8934542797251232E-002   2.9698835853484708E-016  -30.810273627617697     
   2.1066847376275150E-002   3.0149001674681710E-016  -30.810273627617697     
   2.3312863908501982E-002   3.5488601541018328E-016  -30.810273627617697     
   2.5672590683563680E-002   3.9258961768504434E-016  -30.810273627617697     
   2.8146025904526105E-002   3.9847727868957751E-016  -30.810273627617697     
   3.0733167687804673E-002   3.8423861728311074E-016  -30.810273627617697     
   3.3434014063127349E-002   3.7130037723559721E-016  -30.810273627617697     
   3.6248562973445350E-002   5.3539053704895991E-016  -30.810273627617697     
   3.9176812274903661E-002   4.2472836013460526E-016  -30.810273627617697     
   4.2218759736775920E-002   4.5018236994053825E-016  -30.810273627617697     
   4.5374403041425815E-002   5.0788907901194523E-016  -30.810273627617697     
   4.8643739784270223E-002   4.4634686909566851E-016  -30.810273627617697     
   5.2026767473702530E-002   3.8788774663663768E-016  -30.810273627617697     
   5.5523483531088207E-002   4.3068398582068287E-016  -30.810273627617697     
   5.9133885290687263E-002   3.8365569578044947E-016  -30.810273627617697     
   6.2857969999620109E-002   4.4229439128184068E-016  -30.810273627617697     
   6.6695734817822372E-002   5.0153011655799937E-016  -30.810273627617697     
   7.0647176817989196E-002   5.2582770237246291E-016  -30.810273627617697     
   7.4712292985537720E-002   5.1617747753117696E-016  -30.810273627617697     
   7.8891080218537968E-002   6.0049064444319782E-016  -30.810273627617697     
   8.3183535327678859E-002   6.3697722916599274E-016  -30.810273627617697     
   8.7589655036210662E-002   5.2846539997231081E-016  -30.810273627617697     
   9.2109435979885398E-002   5.4510890604258046E-016  -30.810273627617697     
   9.6742874706902723E-002   5.5675787825529121E-016  -30.810273627617697     
  0.10148996767786597        5.1485675901822271E-016  -30.810273627617697     
  0.10635071126569835        4.6535642123155464E-016  -30.810273627617697     
  0.11132510175561483        4.6009867390005176E-016  -30.810273627617697     
  0.11641313534503744        4.5674175551815084E-016  -30.810273627617697     
  0.12161480814353755        3.8230753888429464E-016  -30.810273627617697     
  0.12693011617278752        5.2441258228541919E-016  -30.810273627617697     
  0.13235905536647316        5.5632070444498932E-016  -30.810273627617697     
  0.13790162157024488        5.5611835104597804E-016  -30.810273627617697     
  0.14355781054164568        6.1338759475082076E-016  -30.810273627617697     
  0.14932761795003677        7.0763531530848588E-016  -30.810273627617697     
  0.15521103937653297        7.4585834503889534E-016  -30.810273627617697     
  0.16120807031392365        7.6769199358370338E-016  -30.810273627617697     
  0.16731870616661543        7.1783882421288569E-016  -30.810273627617697     
  0.17354294225053990        6.9778839272168918E-016  -30.810273627617697     
  0.17988077379307915        6.3181863999491503E-016  -30.810273627617697     
  0.18633219593300576        4.7468796651686030E-016  -30.810273627617697     
  0.19289720372038266        3.3968358983905278E-016  -30.810273627617697     
  0.19957579211649820        1.9599847147365551E-016  -30.810273627617697     
  0.20636795599377369        4.2329785367731835E-017  -30.810273627617697     
  0.21327369013568501       -3.6636794233505551E-017  -30.810273627617697     
  0.22029298923668211       -2.4611461719957078E-016  -30.810273627617697     
  0.22742584790209711       -3.5988302664529587E-016  -30.810273627617697     
  0.23467226064805899       -5.9358097498544837E-016  -30.810273627617697     
  0.24203222190140533       -7.8461736631212526E-016  -30.810273627617697     
  0.24950572599959173       -1.1225629043350363E-015  -30.810273627617697     
  0.25709276719059870       -1.3461606921887305E-015  -30.810273627617697     
  0.26479333963284446       -1.7736286539240320E-015  -30.810273627617697     
  0.27260743739508314       -1.9693482463240335E-015  -30.810273627617697     
  0.28053505445631227       -2.2438719240710555E-015  -30.810273627617697     
  0.28857618470567825       -2.3081956225568480E-015  -30.810273627617697     
  0.29673082194237138       -2.5114779273366150E-015  -30.810273627617697     
  0.30499895987553832       -2.4647971243304751E-015  -30.810273627617697     
  0.31338059212415992       -2.5448782599408756E-015  -30.810273627617697     
  0.32187571221696692       -2.4507887058824182E-015  -30.810273627617697     
  0.33048431359232977       -2.6129730079853638E-015  -30.810273627617697     
  0.33920638959815275       -2.7542533777007544E-015  -30.810273627617697     
  0.34804193349176682       -3.0667061407893492E-015  -30.810273627617697     
  0.35699093843981916       -3.3508546388015301E-015  -30.810273627617697     
  0.36605339751816501       -3.7410538033488806E-015  -30.810273627617697     
  0.37522930371175728       -4.0059130158674156E-015  -30.810273627617697     
  0.38451864991453211       -4.4625075415546899E-015  -30.810273627617697     
  0.39392142892929854       -4.7982802269063568E-015  -30.810273627617697     
  0.40343763346761946       -5.1093037106540033E-015  -30.810273627617697     
  0.41306725614969153       -5.2854034754520990E-015  -30.810273627617697     
  0.42281028950423810       -5.5222986534422278E-015  -30.810273627617697     
  0.43266672596836758       -5.6450191980077567E-015  -30.810273627617697     
  0.44263655788748685       -5.8871758739703601E-015  -30.810273627617697     
  0.45271977751514147       -5.9721022474893182E-015  -30.810273627617697     
  0.46291637701291594       -6.1253676335540243E-015  -30.810273627617697     
  0.47322634845029898       -6.0666677332344181E-015  -30.810273627617697     
  0.48364968380456574       -6.0406084784831266E-015  -30.810273627617697     
  0.49418637496062556       -5.8020326841836627E-015  -30.810273627617697     
  0.50483641371092847       -5.5986500573596845E-015  -30.810273627617697     
  0.51559979175530013       -5.5758184336092211E-015  -30.810273627617697     
  0.52647650070083096       -5.6963658600625502E-015  -30.810273627617697     
  0.53746653206173844       -5.8882204226307564E-015  -30.810273627617697     
