Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-22:02:12	1.000000000000000000000000000000E+0	3.452514648437500000000000000000E+0	5.633544921874999800000000000000E-3	4.949432373046875000000000000000E+0	3.940612792968750100000000000000E-1	1.489257812499999900000000000000E-3	4.089355468750000100000000000000E-4	2.990722656250000200000000000000E-4	1.708984374999999900000000000000E-4	
2019.03.28-22:02:17	2.000000000000000000000000000000E+0	3.451928710937500100000000000000E+0	5.590820312499999700000000000000E-3	4.949450683593750200000000000000E+0	4.035949707031250000000000000000E-1	1.599121093750000000000000000000E-3	5.126953125000000200000000000000E-4	2.807617187499999800000000000000E-4	1.892089843750000100000000000000E-4	
2019.03.28-22:02:23	3.000000000000000000000000000000E+0	3.452026367187500000000000000000E+0	5.517578125000000300000000000000E-3	4.949444580078124800000000000000E+0	4.023010253906250100000000000000E-1	1.586914062500000000000000000000E-3	4.638671874999999800000000000000E-4	2.807617187499999800000000000000E-4	2.441406250000000000000000000000E-4	
2019.03.28-22:02:28	4.000000000000000000000000000000E+0	3.433978271484375200000000000000E+0	5.645751953125000000000000000000E-3	4.949560546875000400000000000000E+0	4.050659179687500200000000000000E-1	1.641845703124999900000000000000E-3	5.004882812499999600000000000000E-4	3.051757812500000000000000000000E-4	1.770019531249999900000000000000E-4	
2019.03.28-22:02:33	5.000000000000000000000000000000E+0	3.444299316406250100000000000000E+0	5.700683593750000300000000000000E-3	4.949481201171875200000000000000E+0	4.033935546874999900000000000000E-1	1.507568359375000000000000000000E-3	4.577636718750000000000000000000E-4	2.746582031250000000000000000000E-4	2.685546875000000200000000000000E-4	
2019.03.28-22:02:38	6.000000000000000000000000000000E+0	3.454077148437499900000000000000E+0	5.804443359374999700000000000000E-3	4.949481201171875200000000000000E+0	3.993652343749999900000000000000E-1	1.550292968749999900000000000000E-3	4.577636718750000000000000000000E-4	2.441406250000000000000000000000E-4	2.075195312499999900000000000000E-4	
2019.03.28-22:02:43	7.000000000000000000000000000000E+0	3.464129638671875200000000000000E+0	5.761718750000000300000000000000E-3	4.949420166015625200000000000000E+0	3.928100585937500100000000000000E-1	1.483154296875000000000000000000E-3	4.577636718750000000000000000000E-4	2.746582031250000000000000000000E-4	1.586914062500000100000000000000E-4	
2019.03.28-22:02:48	8.000000000000000000000000000000E+0	3.443988037109375200000000000000E+0	5.737304687500000000000000000000E-3	4.949487304687499600000000000000E+0	3.866394042968749900000000000000E-1	1.574707031250000000000000000000E-3	4.516601562500000200000000000000E-4	2.990722656250000200000000000000E-4	1.953125000000000100000000000000E-4	
2019.03.28-22:02:53	9.000000000000000000000000000000E+0	3.453680419921874900000000000000E+0	5.505371093750000200000000000000E-3	4.949450683593750200000000000000E+0	3.823913574218750200000000000000E-1	1.470947265625000100000000000000E-3	4.821777343750000200000000000000E-4	2.563476562500000100000000000000E-4	2.197265625000000100000000000000E-4	
2019.03.28-22:02:58	1.000000000000000000000000000000E+1	3.457434082031249900000000000000E+0	5.761718750000000300000000000000E-3	4.949499511718750400000000000000E+0	3.836486816406249900000000000000E-1	1.428222656249999900000000000000E-3	5.310058593749999600000000000000E-4	2.319335937499999900000000000000E-4	1.770019531249999900000000000000E-4	
