Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-21:51:34	1.000000000000000000000000000000E+0	1.633361816406249900000000000000E-1	5.621337890624999700000000000000E-3	4.949536132812499800000000000000E+0	4.289001464843750200000000000000E-1	1.159667968750000000000000000000E-3	2.380371093749999900000000000000E-4	2.258300781250000100000000000000E-4	1.098632812500000000000000000000E-4	
2019.03.28-21:51:39	2.000000000000000000000000000000E+0	1.632446289062499900000000000000E-1	5.755615234374999800000000000000E-3	4.949389648437500200000000000000E+0	4.320434570312500200000000000000E-1	1.116943359375000000000000000000E-3	3.356933593750000000000000000000E-4	1.770019531249999900000000000000E-4	1.342773437500000100000000000000E-4	
2019.03.28-21:51:45	3.000000000000000000000000000000E+0	1.634094238281250100000000000000E-1	5.822753906250000300000000000000E-3	4.949450683593750200000000000000E+0	4.411437988281249900000000000000E-1	1.123046874999999900000000000000E-3	2.746582031250000000000000000000E-4	1.831054687500000000000000000000E-4	1.037597656250000000000000000000E-4	
2019.03.28-21:51:50	4.000000000000000000000000000000E+0	1.623291015624999900000000000000E-1	5.645751953125000000000000000000E-3	4.949487304687499600000000000000E+0	4.299865722656249800000000000000E-1	1.019287109375000000000000000000E-3	3.112792968749999800000000000000E-4	1.953125000000000100000000000000E-4	1.586914062500000100000000000000E-4	
2019.03.28-21:51:55	5.000000000000000000000000000000E+0	1.640380859374999900000000000000E-1	5.657958984375000200000000000000E-3	4.949468994140625400000000000000E+0	4.305847167968749900000000000000E-1	9.887695312499999600000000000000E-4	2.990722656250000200000000000000E-4	1.220703125000000000000000000000E-4	1.953125000000000100000000000000E-4	
2019.03.28-21:52:00	6.000000000000000000000000000000E+0	1.634094238281250100000000000000E-1	5.761718750000000300000000000000E-3	4.949511718750000200000000000000E+0	4.268981933593750100000000000000E-1	1.074218750000000100000000000000E-3	2.624511718749999900000000000000E-4	1.953125000000000100000000000000E-4	1.403808593749999900000000000000E-4	
2019.03.28-21:52:05	7.000000000000000000000000000000E+0	1.632507324218749900000000000000E-1	5.633544921874999800000000000000E-3	4.949462890625000000000000000000E+0	4.205871582031249800000000000000E-1	1.092529296874999900000000000000E-3	3.234863281249999900000000000000E-4	1.708984374999999900000000000000E-4	1.464843749999999900000000000000E-4	
2019.03.28-21:52:10	8.000000000000000000000000000000E+0	1.639160156249999900000000000000E-1	5.700683593750000300000000000000E-3	4.949517822265624600000000000000E+0	4.077392578124999800000000000000E-1	1.037597656250000000000000000000E-3	2.685546875000000200000000000000E-4	1.525878906250000000000000000000E-4	1.525878906250000000000000000000E-4	
2019.03.28-21:52:15	9.000000000000000000000000000000E+0	1.626953124999999900000000000000E-1	5.737304687500000000000000000000E-3	4.949456787109374600000000000000E+0	3.983154296875000000000000000000E-1	1.062011718749999900000000000000E-3	2.990722656250000200000000000000E-4	1.953125000000000100000000000000E-4	1.831054687500000000000000000000E-4	
2019.03.28-21:52:22	1.000000000000000000000000000000E+1	1.630859375000000000000000000000E-1	5.877685546874999800000000000000E-3	4.949493408203125000000000000000E+0	3.968200683593750000000000000000E-1	9.643554687500000400000000000000E-4	3.051757812500000000000000000000E-4	2.258300781250000100000000000000E-4	1.098632812500000000000000000000E-4	
