Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-21:59:20	1.000000000000000000000000000000E+0	2.189318847656250200000000000000E+0	5.651855468749999700000000000000E-3	4.949438476562500400000000000000E+0	3.834411621093750100000000000000E-1	9.826660156250000900000000000000E-4	3.356933593750000000000000000000E-4	2.380371093749999900000000000000E-4	1.647949218750000100000000000000E-4	
2019.03.28-21:59:25	2.000000000000000000000000000000E+0	2.203601074218750200000000000000E+0	5.712890624999999700000000000000E-3	4.949438476562500400000000000000E+0	3.857910156250000100000000000000E-1	1.055908203125000000000000000000E-3	3.173828125000000100000000000000E-4	1.831054687500000000000000000000E-4	2.075195312499999900000000000000E-4	
2019.03.28-21:59:31	3.000000000000000000000000000000E+0	2.196099853515625100000000000000E+0	5.700683593750000300000000000000E-3	4.949383544921874800000000000000E+0	3.873352050781250200000000000000E-1	9.765625000000000000000000000000E-4	3.295898437500000200000000000000E-4	2.380371093749999900000000000000E-4	1.892089843750000100000000000000E-4	
2019.03.28-21:59:36	4.000000000000000000000000000000E+0	2.194744873046874800000000000000E+0	5.688476562500000200000000000000E-3	4.949578857421874600000000000000E+0	3.820800781250000000000000000000E-1	1.000976562499999900000000000000E-3	3.112792968749999800000000000000E-4	2.380371093749999900000000000000E-4	1.953125000000000100000000000000E-4	
2019.03.28-21:59:41	5.000000000000000000000000000000E+0	2.211004638671874900000000000000E+0	5.773925781249999700000000000000E-3	4.949481201171875200000000000000E+0	3.797302246093750000000000000000E-1	9.643554687500000400000000000000E-4	3.234863281249999900000000000000E-4	1.831054687500000000000000000000E-4	1.770019531249999900000000000000E-4	
2019.03.28-21:59:46	6.000000000000000000000000000000E+0	2.203643798828125000000000000000E+0	5.694580078124999800000000000000E-3	4.949487304687499600000000000000E+0	3.801635742187500200000000000000E-1	9.704589843750000200000000000000E-4	3.112792968749999800000000000000E-4	2.075195312499999900000000000000E-4	2.075195312499999900000000000000E-4	
2019.03.28-21:59:51	7.000000000000000000000000000000E+0	2.203106689453124800000000000000E+0	5.920410156250000000000000000000E-3	4.949505615234374800000000000000E+0	3.817565917968749900000000000000E-1	1.000976562499999900000000000000E-3	2.990722656250000200000000000000E-4	1.708984374999999900000000000000E-4	1.831054687500000000000000000000E-4	
2019.03.28-21:59:56	8.000000000000000000000000000000E+0	2.209820556640624800000000000000E+0	5.645751953125000000000000000000E-3	4.949523925781250000000000000000E+0	3.830444335937500100000000000000E-1	1.116943359375000000000000000000E-3	4.028320312499999800000000000000E-4	2.014160156249999900000000000000E-4	1.953125000000000100000000000000E-4	
2019.03.28-22:00:01	9.000000000000000000000000000000E+0	2.206304931640624900000000000000E+0	5.792236328125000300000000000000E-3	4.949420166015625200000000000000E+0	3.812805175781249800000000000000E-1	1.013183593750000100000000000000E-3	3.417968749999999800000000000000E-4	2.441406250000000000000000000000E-4	1.525878906250000000000000000000E-4	
2019.03.28-22:00:06	1.000000000000000000000000000000E+1	2.199755859375000200000000000000E+0	5.859375000000000000000000000000E-3	4.949462890625000000000000000000E+0	3.828613281250000100000000000000E-1	1.031494140624999900000000000000E-3	3.051757812500000000000000000000E-4	2.624511718749999900000000000000E-4	1.953125000000000100000000000000E-4	
