Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-21:57:49	1.000000000000000000000000000000E+0	1.535742187499999900000000000000E+0	5.584716796875000000000000000000E-3	4.949475097656249800000000000000E+0	4.167541503906250200000000000000E-1	1.153564453124999900000000000000E-3	3.234863281249999900000000000000E-4	2.624511718749999900000000000000E-4	1.770019531249999900000000000000E-4	
2019.03.28-21:57:55	2.000000000000000000000000000000E+0	1.541564941406250000000000000000E+0	5.810546875000000200000000000000E-3	4.949353027343749800000000000000E+0	4.160705566406249800000000000000E-1	1.049804687500000000000000000000E-3	3.356933593750000000000000000000E-4	1.464843749999999900000000000000E-4	1.342773437500000100000000000000E-4	
2019.03.28-21:58:00	3.000000000000000000000000000000E+0	1.548608398437500100000000000000E+0	5.670166015625000300000000000000E-3	4.949432373046875000000000000000E+0	4.100463867187499900000000000000E-1	1.092529296874999900000000000000E-3	2.746582031250000000000000000000E-4	9.765625000000000500000000000000E-5	1.953125000000000100000000000000E-4	
2019.03.28-21:58:05	4.000000000000000000000000000000E+0	1.539733886718750000000000000000E+0	5.712890624999999700000000000000E-3	4.949389648437500200000000000000E+0	4.130187988281249800000000000000E-1	1.037597656250000000000000000000E-3	3.295898437500000200000000000000E-4	2.563476562500000100000000000000E-4	9.765625000000000500000000000000E-5	
2019.03.28-21:58:10	5.000000000000000000000000000000E+0	1.539038085937499900000000000000E+0	5.902099609375000200000000000000E-3	4.949499511718750400000000000000E+0	4.142944335937500100000000000000E-1	1.007080078125000000000000000000E-3	3.601074218750000200000000000000E-4	2.868652343750000100000000000000E-4	2.197265625000000100000000000000E-4	
2019.03.28-21:58:16	6.000000000000000000000000000000E+0	1.545294189453124900000000000000E+0	5.792236328125000300000000000000E-3	4.949487304687499600000000000000E+0	4.070312500000000100000000000000E-1	1.037597656250000000000000000000E-3	3.540039062499999900000000000000E-4	2.197265625000000100000000000000E-4	1.770019531249999900000000000000E-4	
2019.03.28-21:58:21	7.000000000000000000000000000000E+0	1.545129394531250100000000000000E+0	5.645751953125000000000000000000E-3	4.949456787109374600000000000000E+0	4.033691406250000100000000000000E-1	1.007080078125000000000000000000E-3	2.624511718749999900000000000000E-4	1.831054687500000000000000000000E-4	1.403808593749999900000000000000E-4	
2019.03.28-21:58:26	8.000000000000000000000000000000E+0	1.550708007812500000000000000000E+0	5.633544921874999800000000000000E-3	4.949475097656249800000000000000E+0	3.953369140624999900000000000000E-1	1.000976562499999900000000000000E-3	3.051757812500000000000000000000E-4	1.586914062500000100000000000000E-4	2.075195312499999900000000000000E-4	
2019.03.28-21:58:31	9.000000000000000000000000000000E+0	1.540026855468750000000000000000E+0	5.694580078124999800000000000000E-3	4.949414062499999800000000000000E+0	3.843872070312500100000000000000E-1	1.037597656250000000000000000000E-3	2.685546875000000200000000000000E-4	1.892089843750000100000000000000E-4	1.464843749999999900000000000000E-4	
2019.03.28-21:58:36	1.000000000000000000000000000000E+1	1.546240234374999900000000000000E+0	5.670166015625000300000000000000E-3	4.949548339843749600000000000000E+0	3.868896484375000100000000000000E-1	9.948730468750000400000000000000E-4	2.685546875000000200000000000000E-4	2.746582031250000000000000000000E-4	1.037597656250000000000000000000E-4	
