Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-22:00:41	1.000000000000000000000000000000E+0	2.837799072265625000000000000000E+0	5.847167968749999800000000000000E-3	4.949395751953124600000000000000E+0	4.125488281249999900000000000000E-1	1.385498046875000000000000000000E-3	4.760742187499999900000000000000E-4	2.624511718749999900000000000000E-4	2.075195312499999900000000000000E-4	
2019.03.28-22:00:46	2.000000000000000000000000000000E+0	2.852593994140625100000000000000E+0	5.786132812499999800000000000000E-3	4.949456787109374600000000000000E+0	4.133911132812500000000000000000E-1	1.409912109375000100000000000000E-3	4.821777343750000200000000000000E-4	3.356933593750000000000000000000E-4	1.586914062500000100000000000000E-4	
2019.03.28-22:00:51	3.000000000000000000000000000000E+0	2.863977050781250100000000000000E+0	5.517578125000000300000000000000E-3	4.949456787109374600000000000000E+0	4.115112304687499900000000000000E-1	1.477050781250000000000000000000E-3	4.394531250000000100000000000000E-4	3.051757812500000000000000000000E-4	2.197265625000000100000000000000E-4	
2019.03.28-22:00:57	4.000000000000000000000000000000E+0	2.865460205078124800000000000000E+0	5.889892578125000000000000000000E-3	4.949481201171875200000000000000E+0	4.054260253906250000000000000000E-1	1.464843750000000000000000000000E-3	4.699707031250000100000000000000E-4	2.624511718749999900000000000000E-4	2.502441406249999800000000000000E-4	
2019.03.28-22:01:02	5.000000000000000000000000000000E+0	2.868603515624999800000000000000E+0	5.718994140625000200000000000000E-3	4.949475097656249800000000000000E+0	4.039794921875000100000000000000E-1	1.470947265625000100000000000000E-3	4.882812500000000000000000000000E-4	2.807617187499999800000000000000E-4	1.464843749999999900000000000000E-4	
2019.03.28-22:01:07	6.000000000000000000000000000000E+0	2.853833007812499800000000000000E+0	5.804443359374999700000000000000E-3	4.949450683593750200000000000000E+0	4.072143554687500100000000000000E-1	1.489257812499999900000000000000E-3	4.455566406249999900000000000000E-4	2.380371093749999900000000000000E-4	2.380371093749999900000000000000E-4	
2019.03.28-22:01:13	7.000000000000000000000000000000E+0	2.863751220703124800000000000000E+0	5.804443359374999700000000000000E-3	4.949456787109374600000000000000E+0	4.091491699218750000000000000000E-1	1.538085937500000000000000000000E-3	5.126953125000000200000000000000E-4	2.746582031250000000000000000000E-4	2.258300781250000100000000000000E-4	
2019.03.28-22:01:18	8.000000000000000000000000000000E+0	2.861041259765625200000000000000E+0	5.712890624999999700000000000000E-3	4.949438476562500400000000000000E+0	4.052917480468750100000000000000E-1	1.501464843750000100000000000000E-3	4.760742187499999900000000000000E-4	3.173828125000000100000000000000E-4	1.953125000000000100000000000000E-4	
2019.03.28-22:01:23	9.000000000000000000000000000000E+0	2.848760986328124900000000000000E+0	5.706787109375000000000000000000E-3	4.949499511718750400000000000000E+0	4.065124511718750100000000000000E-1	1.354980468750000000000000000000E-3	4.760742187499999900000000000000E-4	2.441406250000000000000000000000E-4	2.319335937499999900000000000000E-4	
2019.03.28-22:01:28	1.000000000000000000000000000000E+1	2.859521484375000100000000000000E+0	5.725097656249999800000000000000E-3	4.949426269531249600000000000000E+0	4.006225585937500100000000000000E-1	1.495361328125000000000000000000E-3	4.394531250000000100000000000000E-4	2.624511718749999900000000000000E-4	1.770019531249999900000000000000E-4	
