Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-22:06:16	1.000000000000000000000000000000E+0	4.609930419921875400000000000000E+0	5.975341796875000300000000000000E-3	4.949456787109374600000000000000E+0	3.925170898437500000000000000000E-1	1.452636718750000000000000000000E-3	5.187988281250000000000000000000E-4	2.929687499999999900000000000000E-4	2.502441406249999800000000000000E-4	
2019.03.28-22:06:21	2.000000000000000000000000000000E+0	4.620825195312500400000000000000E+0	5.694580078124999800000000000000E-3	4.949456787109374600000000000000E+0	3.845825195312500000000000000000E-1	1.495361328125000000000000000000E-3	5.371093750000000400000000000000E-4	3.601074218750000200000000000000E-4	2.807617187499999800000000000000E-4	
2019.03.28-22:06:26	3.000000000000000000000000000000E+0	4.632507324218750000000000000000E+0	5.816650390624999800000000000000E-3	4.949426269531249600000000000000E+0	3.891723632812499900000000000000E-1	1.599121093750000000000000000000E-3	4.943847656249999800000000000000E-4	3.112792968749999800000000000000E-4	1.647949218750000100000000000000E-4	
2019.03.28-22:06:31	4.000000000000000000000000000000E+0	4.622186279296874600000000000000E+0	5.651855468749999700000000000000E-3	4.949468994140625400000000000000E+0	3.847778320312499900000000000000E-1	1.525878906250000000000000000000E-3	4.272460937500000000000000000000E-4	2.380371093749999900000000000000E-4	2.563476562500000100000000000000E-4	
2019.03.28-22:06:36	5.000000000000000000000000000000E+0	4.639678955078125000000000000000E+0	5.737304687500000000000000000000E-3	4.949444580078124800000000000000E+0	3.879272460937500100000000000000E-1	1.617431640625000000000000000000E-3	5.432128906250000200000000000000E-4	2.868652343750000100000000000000E-4	1.525878906250000000000000000000E-4	
2019.03.28-22:06:41	6.000000000000000000000000000000E+0	4.628997802734375000000000000000E+0	5.743408203124999700000000000000E-3	4.949468994140625400000000000000E+0	3.918823242187500200000000000000E-1	1.501464843750000100000000000000E-3	5.615234374999999600000000000000E-4	2.807617187499999800000000000000E-4	2.807617187499999800000000000000E-4	
2019.03.28-22:06:46	7.000000000000000000000000000000E+0	4.621148681640624600000000000000E+0	5.639648437500000300000000000000E-3	4.949481201171875200000000000000E+0	3.969482421875000200000000000000E-1	1.507568359375000000000000000000E-3	4.455566406249999900000000000000E-4	2.868652343750000100000000000000E-4	2.441406250000000000000000000000E-4	
2019.03.28-22:06:51	8.000000000000000000000000000000E+0	4.614611816406250200000000000000E+0	5.645751953125000000000000000000E-3	4.949438476562500400000000000000E+0	3.906738281250000100000000000000E-1	1.501464843750000100000000000000E-3	5.493164062500000000000000000000E-4	2.563476562500000100000000000000E-4	2.014160156249999900000000000000E-4	
2019.03.28-22:06:56	9.000000000000000000000000000000E+0	4.622283935546875000000000000000E+0	5.725097656249999800000000000000E-3	4.949383544921874800000000000000E+0	3.975891113281250200000000000000E-1	1.550292968749999900000000000000E-3	4.943847656249999800000000000000E-4	2.868652343750000100000000000000E-4	2.258300781250000100000000000000E-4	
2019.03.28-22:07:01	1.000000000000000000000000000000E+1	4.625915527343750000000000000000E+0	5.908203124999999800000000000000E-3	4.949554443359375000000000000000E+0	3.990234375000000200000000000000E-1	1.629638671875000000000000000000E-3	4.882812500000000000000000000000E-4	2.380371093749999900000000000000E-4	2.197265625000000100000000000000E-4	
