Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-21:54:20	1.000000000000000000000000000000E+0	4.752807617187500000000000000000E-1	5.688476562500000200000000000000E-3	4.949493408203125000000000000000E+0	3.808410644531249900000000000000E-1	1.013183593750000100000000000000E-3	3.173828125000000100000000000000E-4	1.403808593749999900000000000000E-4	1.098632812500000000000000000000E-4	
2019.03.28-21:54:26	2.000000000000000000000000000000E+0	4.781738281249999800000000000000E-1	5.706787109375000000000000000000E-3	4.949450683593750200000000000000E+0	3.796813964843749900000000000000E-1	9.887695312499999600000000000000E-4	3.112792968749999800000000000000E-4	1.586914062500000100000000000000E-4	1.586914062500000100000000000000E-4	
2019.03.28-21:54:31	3.000000000000000000000000000000E+0	4.750610351562499800000000000000E-1	5.694580078124999800000000000000E-3	4.949566650390624800000000000000E+0	3.797912597656250000000000000000E-1	9.521484374999999800000000000000E-4	2.990722656250000200000000000000E-4	2.319335937499999900000000000000E-4	1.464843749999999900000000000000E-4	
2019.03.28-21:54:36	4.000000000000000000000000000000E+0	4.756530761718750200000000000000E-1	5.712890624999999700000000000000E-3	4.949444580078124800000000000000E+0	3.829040527343750000000000000000E-1	1.007080078125000000000000000000E-3	3.356933593750000000000000000000E-4	1.647949218750000100000000000000E-4	1.831054687500000000000000000000E-4	
2019.03.28-21:54:41	5.000000000000000000000000000000E+0	4.759155273437499800000000000000E-1	5.645751953125000000000000000000E-3	4.949395751953124600000000000000E+0	3.876159667968749900000000000000E-1	9.643554687500000400000000000000E-4	3.173828125000000100000000000000E-4	2.258300781250000100000000000000E-4	1.708984374999999900000000000000E-4	
2019.03.28-21:54:46	6.000000000000000000000000000000E+0	4.725769042968749900000000000000E-1	5.792236328125000300000000000000E-3	4.949487304687499600000000000000E+0	3.959594726562499800000000000000E-1	1.068115234375000000000000000000E-3	2.990722656250000200000000000000E-4	2.075195312499999900000000000000E-4	1.464843749999999900000000000000E-4	
2019.03.28-21:54:51	7.000000000000000000000000000000E+0	4.764343261718749800000000000000E-1	5.889892578125000000000000000000E-3	4.949420166015625200000000000000E+0	4.020080566406250000000000000000E-1	1.080322265625000000000000000000E-3	3.479003906250000100000000000000E-4	1.342773437500000100000000000000E-4	1.525878906250000000000000000000E-4	
2019.03.28-21:54:56	8.000000000000000000000000000000E+0	4.774108886718749800000000000000E-1	5.712890624999999700000000000000E-3	4.949493408203125000000000000000E+0	4.137817382812499800000000000000E-1	1.141357421875000000000000000000E-3	3.540039062499999900000000000000E-4	2.014160156249999900000000000000E-4	1.464843749999999900000000000000E-4	
2019.03.28-21:55:01	9.000000000000000000000000000000E+0	4.712890625000000200000000000000E-1	5.786132812499999800000000000000E-3	4.949505615234374800000000000000E+0	4.272094726562499800000000000000E-1	1.055908203125000000000000000000E-3	3.417968749999999800000000000000E-4	2.014160156249999900000000000000E-4	2.014160156249999900000000000000E-4	
2019.03.28-21:55:06	1.000000000000000000000000000000E+1	4.739135742187500200000000000000E-1	5.603027343749999800000000000000E-3	4.949475097656249800000000000000E+0	4.244689941406250000000000000000E-1	1.043701171875000100000000000000E-3	3.051757812500000000000000000000E-4	2.929687499999999900000000000000E-4	2.380371093749999900000000000000E-4	
