Timestamp	Repetition	AI 0 - UV Power	AI 1 - Spec Power	AI 2 - DigiLock_PID1_locked	AI 3 - Lin_Spec	AI 4 - 	AI 5 - 	AI 6 - 	AI 7 -
2019.03.28-21:56:24	1.000000000000000000000000000000E+0	9.492065429687499600000000000000E-1	5.645751953125000000000000000000E-3	4.949414062499999800000000000000E+0	3.853576660156249900000000000000E-1	9.765625000000000000000000000000E-4	3.845214843749999900000000000000E-4	2.197265625000000100000000000000E-4	2.380371093749999900000000000000E-4	
2019.03.28-21:56:30	2.000000000000000000000000000000E+0	9.573486328125000400000000000000E-1	5.810546875000000200000000000000E-3	4.949481201171875200000000000000E+0	3.900024414062500100000000000000E-1	9.582519531249999600000000000000E-4	3.601074218750000200000000000000E-4	1.892089843750000100000000000000E-4	2.197265625000000100000000000000E-4	
2019.03.28-21:56:35	3.000000000000000000000000000000E+0	9.595397949218750200000000000000E-1	5.688476562500000200000000000000E-3	4.949468994140625400000000000000E+0	3.845092773437500100000000000000E-1	1.000976562499999900000000000000E-3	2.685546875000000200000000000000E-4	1.831054687500000000000000000000E-4	1.770019531249999900000000000000E-4	
2019.03.28-21:56:40	4.000000000000000000000000000000E+0	9.502929687500000200000000000000E-1	5.767822265625000000000000000000E-3	4.949481201171875200000000000000E+0	3.881408691406250100000000000000E-1	1.007080078125000000000000000000E-3	2.807617187499999800000000000000E-4	1.892089843750000100000000000000E-4	1.647949218750000100000000000000E-4	
2019.03.28-21:56:45	5.000000000000000000000000000000E+0	9.558349609374999800000000000000E-1	5.731201171875000300000000000000E-3	4.949499511718750400000000000000E+0	3.865844726562500100000000000000E-1	1.025390625000000000000000000000E-3	2.685546875000000200000000000000E-4	2.319335937499999900000000000000E-4	1.281738281250000100000000000000E-4	
2019.03.28-21:56:50	6.000000000000000000000000000000E+0	9.546264648437500200000000000000E-1	5.590820312499999700000000000000E-3	4.949475097656249800000000000000E+0	3.908569335937500100000000000000E-1	9.643554687500000400000000000000E-4	3.173828125000000100000000000000E-4	1.770019531249999900000000000000E-4	1.770019531249999900000000000000E-4	
2019.03.28-21:56:55	7.000000000000000000000000000000E+0	9.555175781250000400000000000000E-1	5.725097656249999800000000000000E-3	4.949444580078124800000000000000E+0	3.853820800781250200000000000000E-1	1.019287109375000000000000000000E-3	3.417968749999999800000000000000E-4	1.525878906250000000000000000000E-4	1.708984374999999900000000000000E-4	
2019.03.28-21:57:00	8.000000000000000000000000000000E+0	9.522399902343750000000000000000E-1	5.865478515624999700000000000000E-3	4.949426269531249600000000000000E+0	3.815063476562500200000000000000E-1	9.643554687500000400000000000000E-4	2.075195312499999900000000000000E-4	2.441406250000000000000000000000E-4	1.220703125000000000000000000000E-4	
2019.03.28-21:57:05	9.000000000000000000000000000000E+0	9.546508789062500000000000000000E-1	5.804443359374999700000000000000E-3	4.949517822265624600000000000000E+0	3.783203124999999800000000000000E-1	9.826660156250000900000000000000E-4	2.990722656250000200000000000000E-4	1.464843749999999900000000000000E-4	9.155273437500000000000000000000E-5	
2019.03.28-21:57:10	1.000000000000000000000000000000E+1	9.558715820312500000000000000000E-1	5.780029296875000200000000000000E-3	4.949475097656249800000000000000E+0	3.825195312499999900000000000000E-1	9.338378906250000400000000000000E-4	2.502441406249999800000000000000E-4	1.098632812500000000000000000000E-4	1.220703125000000000000000000000E-4	
