 # Molecular potential
 # R (nm)   Energy shift (MHz)
   7.8783363675116532E-005   0.0000000000000000     
   2.6410587370773105E-004   0.0000000000000000     
   5.5537711292163517E-004   0.0000000000000000     
   9.5257434120201248E-004   0.0000000000000000     
   1.4556932813978663E-003   0.0000000000000000     
   2.0647324178349183E-003   0.0000000000000000     
   2.7796908673177068E-003   0.0000000000000000     
   3.6005679017481682E-003   0.0000000000000000     
   4.5273628057012835E-003   0.0000000000000000     
   5.5600748251326618E-003   0.0000000000000000     
   6.6987031461719143E-003   0.0000000000000000     
   7.9432468854563031E-003   0.0000000000000000     
   9.2937050852879548E-003   0.0000000000000000     
   1.0750076711105019E-002   0.0000000000000000     
   1.2312360650010058E-002   0.0000000000000000     
   1.3980555709961234E-002   0.0000000000000000     
   1.5754660619220307E-002   0.0000000000000000     
   1.7634674026018694E-002   0.0000000000000000     
   1.9620594498348905E-002   0.0000000000000000     
   2.1712420523776838E-002   0.0000000000000000     
   2.3910150509352319E-002   0.0000000000000000     
   2.6213782781501927E-002   0.0000000000000000     
   2.8623315585950403E-002   0.0000000000000000     
   3.1138747087686148E-002   0.0000000000000000     
   3.3760075370878148E-002   0.0000000000000000     
   3.6487298438848445E-002   0.0000000000000000     
   3.9320414214011487E-002   0.0000000000000000     
   4.2259420537838217E-002   0.0000000000000000     
   4.5304315170821723E-002   0.0000000000000000     
   4.8455095792405825E-002   0.0000000000000000     
   5.1711760000980919E-002   0.0000000000000000     
   5.5074305313811855E-002   0.0000000000000000     
   5.8542729167005987E-002   0.0000000000000000     
   6.2117028915471245E-002   0.0000000000000000     
   6.5797201832864180E-002   0.0000000000000000     
   6.9583245111554975E-002   0.0000000000000000     
   7.3475155862563243E-002   0.0000000000000000     
   7.7472931115526139E-002   0.0000000000000000     
   8.1576567818645015E-002   0.0000000000000000     
   8.5786062838629648E-002   0.0000000000000000     
   9.0101412960648095E-002   0.0000000000000000     
   9.4522614888285561E-002   0.0000000000000000     
   9.9049665243466492E-002   0.0000000000000000     
  0.10368256056642824        0.0000000000000000     
  0.10842129731564237        0.0000000000000000     
  0.11326587186776063        0.0000000000000000     
  0.11821628051757027        0.0000000000000000     
  0.12327251947791219        0.0000000000000000     
  0.12843458487963560        0.0000000000000000     
  0.13370247277153099        0.0000000000000000     
  0.13907617912026077        0.0000000000000000     
