Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5snf,33,1F3,5s33f,45830.77,0.18,88,Philip2007.OC.279.141,0.1078627412168629,0.029185552184504054
5snf,36,1F3,5s36f,45846.95,0.18,88,Philip2007.OC.279.141,0.12201722296448025,0.0378770095930628
5snf,37,1F3,5s37f,45851.58,0.18,88,Philip2007.OC.279.141,0.10616683831848661,0.041186318277136535
5snf,38,1F3,5s38f,45855.78,0.18,88,Philip2007.OC.279.141,0.10589755776044285,0.044627905760881575
5snf,39,1F3,5s39f,45859.78,0.18,88,Philip2007.OC.279.141,0.07345629925936947,0.04837591200998396
5snf,40,1F3,5s40f,45863.14,0.18,88,Philip2007.OC.279.141,0.13775233052353286,0.05194897491283651
5snf,41,1F3,5s41f,45866.82,0.18,88,Philip2007.OC.279.141,0.031263494171163586,0.05639613529636168
5snf,42,1F3,5s42f,45869.98,0.18,88,Philip2007.OC.279.141,0.00380096736267177,0.06074654591131196
5snf,43,1F3,5s43f,45872.61,0.18,88,Philip2007.OC.279.141,0.08706096203086133,0.06481214751812453
5snf,44,1F3,5s44f,45875.35,0.18,88,Philip2007.OC.279.141,0.0650965355080686,0.06955376797639765
4dnd,4,3P0,4d4d,44526.18,0.18,88,Philip2007.OC.279.141,-4.834460343399893,0.0005654988285117339
4dnd,4,3P2,4d4d,44729.42,0.18,88,Philip2007.OC.279.141,-5.551743898796786,0.0007147260999737
