imagevcoAtom,sfiIntegral,wavemeterAtom,wavemeterBack,Timestamp,GHz_Synth,UV_Power,Spec_Power,DigiLock_PID1_locked,AI3,AI4,AI5,AI6,AI7,numberAtom,tempXAtom,tempYAtom
1402.325,30,15655.425,15655.425,2019.04.11-17:29:15,1402.325,0.73873291015625,0.463775634765625,4.94949340820313,0.005255126953125,0.000433349609375,0.000347900390625,0.000146484375,0.000164794921875,90917.41,8.292816e-07,7.034127e-07
1402.425,38,15655.425,15655.425,2019.04.11-17:29:52,1402.425,0.74229736328125,0.466021728515625,4.94956665039062,0.005230712890625,0.000537109375,0.00037841796875,0.000311279296875,0.00029296875,112853.5,7.888837e-07,6.819295e-07
1402.475,36,15655.424,15655.424,2019.04.11-17:30:28,1402.475,0.731475830078125,0.463922119140625,4.9495361328125,0.005169677734375,0.000555419921875,0.00030517578125,0.00020751953125,0.000177001953125,130953.4,8.024062e-07,7.302189e-07
1402.525,39,15655.425,15655.425,2019.04.11-17:31:03,1402.525,0.745660400390625,0.46563720703125,4.94945068359375,0.00517578125,0.0004150390625,0.000396728515625,0.000164794921875,0.00028076171875,146207.3,8.123129e-07,8.218032e-07
1402.575,21,15655.424,15655.424,2019.04.11-17:31:39,1402.575,0.744049072265625,0.465203857421875,4.94949951171875,0.0052978515625,0.000616455078125,0.00057373046875,0.000396728515625,0.00035400390625,116167.6,8.291175e-07,8.238973e-07
1402.625,42,15655.425,15655.425,2019.04.11-17:32:15,1402.625,0.741510009765625,0.465606689453125,4.94947509765625,0.0052001953125,0.000299072265625,0.000286865234375,0.000250244140625,0.000238037109375,102734.4,8.821432e-07,8.288357e-07
1402.675,48,15655.424,15655.424,2019.04.11-17:32:50,1402.675,0.7426513671875,0.464453125,4.9494873046875,0.00517578125,0.000439453125,0.00032958984375,0.000244140625,0.000274658203125,110704.1,8.430773e-07,7.923583e-07
1402.725,63,15655.425,15655.425,2019.04.11-17:33:26,1402.725,0.741015625,0.464312744140625,4.94945678710937,0.005218505859375,0.000384521484375,0.000396728515625,0.00020751953125,0.0001953125,110276.7,8.523442e-07,7.294447e-07
1402.775,35,15655.425,15655.425,2019.04.11-17:34:02,1402.775,0.7399169921875,0.463629150390625,4.949560546875,0.005218505859375,0.000506591796875,0.00042724609375,0.000286865234375,0.000250244140625,129011.8,8.51445e-07,7.643736e-07
1402.825,32,15655.425,15655.425,2019.04.11-17:34:38,1402.825,0.742047119140625,0.464935302734375,4.94950561523437,0.005218505859375,0.00059814453125,0.00040283203125,0.00035400390625,0.000201416015625,118356.6,8.704869e-07,8.254627e-07
1402.875,40,15655.424,15655.424,2019.04.11-17:35:13,1402.875,0.73543701171875,0.46302490234375,4.94945068359375,0.005267333984375,0.000445556640625,0.0004638671875,0.000372314453125,0.000390625,122711.6,8.674443e-07,7.74293e-07
