Series,n,Term,Label,E_exp,E_exp_unc,Isotope,Reference,delta_exp,delta_exp_unc
5snp,36,3P2,5s36p,45832.16,0.02,88,Armstrong1979.JOSA.69.211,2.8801426096225384,0.0033111140931750657
5snp,37,3P2,5s37p,45837.93,0.02,88,Armstrong1979.JOSA.69.211,2.881611134151214,0.0036197144858526264
5snp,38,3P2,5s38p,45843.22,0.02,88,Armstrong1979.JOSA.69.211,2.8820597696429786,0.003947261307316871
5snp,39,3P2,5s39p,45848.05,0.02,88,Armstrong1979.JOSA.69.211,2.88828261667215,0.004291935632640158
5snp,40,3P2,5s40p,45852.56,0.02,88,Armstrong1979.JOSA.69.211,2.8798653494420847,0.004661625708884932
5snp,41,3P2,5s41p,45856.68,0.02,88,Armstrong1979.JOSA.69.211,2.88076793777811,0.005048254024308444
5snp,42,3P2,5s42p,45860.54,0.02,88,Armstrong1979.JOSA.69.211,2.867580986049454,0.0054615870091769365
5snp,43,3P2,5s43p,45864.04,0.02,88,Armstrong1979.JOSA.69.211,2.875441250841355,0.0058876173974640265
5snp,44,3P2,5s44p,45867.26,0.02,88,Armstrong1979.JOSA.69.211,2.8927067669300186,0.006330899428487403
5snp,45,3P2,5s45p,45870.3,0.03,88,Armstrong1979.JOSA.69.211,2.895388939680892,0.010203647814899033
5snp,46,3P2,5s46p,45873.13,0.03,88,Armstrong1979.JOSA.69.211,2.898591816455074,0.010945632401157689
5snp,47,3P2,5s47p,45875.77,0.03,88,Armstrong1979.JOSA.69.211,2.9018998779852154,0.01172265862136109
5snp,48,3P2,5s48p,45878.26,0.03,88,Armstrong1979.JOSA.69.211,2.895550005983459,0.012543670998551264
5snp,49,3P2,5s49p,45880.56,0.02,88,Armstrong1979.JOSA.69.211,2.9020403548051448,0.008927993833195508
5snp,50,3P2,5s50p,45882.75,0.02,88,Armstrong1979.JOSA.69.211,2.8923295372774547,0.009527603086589141
5snp,51,3P2,5s51p,45884.82,0.02,88,Armstrong1979.JOSA.69.211,2.87428410877542,0.010158752511294658
5snp,52,3P2,5s52p,45886.71,0.02,88,Armstrong1979.JOSA.69.211,2.884709421194458,0.010798387916786613
5snp,53,3P2,5s53p,45888.43,0.03,88,Armstrong1979.JOSA.69.211,2.928988052019271,0.01716032807526809
5snp,54,3P2,5s54p,45890.18,0.02,88,Armstrong1979.JOSA.69.211,2.896979626507296,0.012163217682009146
5snp,55,3P2,5s55p,45891.8,0.03,88,Armstrong1979.JOSA.69.211,2.882465577483785,0.019351652921656307
5snp,56,3P2,5s56p,45893.28,0.02,88,Armstrong1979.JOSA.69.211,2.900787466241674,0.013644983441097045
5snp,57,3P2,5s57p,45894.7,0.02,88,Armstrong1979.JOSA.69.211,2.904789805319119,0.014427304877758446
5snp,58,3P2,5s58p,45896.01,0.02,88,Armstrong1979.JOSA.69.211,2.934434252088863,0.01521770244994102
5snp,59,3P2,5s59p,45897.3,0.02,88,Armstrong1979.JOSA.69.211,2.9259878548092146,0.01606917814986881
5snp,60,3P2,5s60p,45898.5,0.02,88,Armstrong1979.JOSA.69.211,2.9363769462230493,0.01693506227655839
