 #Wavefunction nu=           2
 # R (nm)   R psi(R)    E(MHz)
   9.6824421025974196E-005   6.5189060977648734E-018  -6.9896165107818060     
   3.2458500270136242E-004   2.1338046628873973E-017  -6.9896165107818060     
   6.8255612481164958E-004   4.3625570360942367E-017  -6.9896165107818060     
   1.1707098398518237E-003   7.7273481414728663E-017  -6.9896165107818060     
   1.7890408912213842E-003   1.2034429253507962E-016  -6.9896165107818060     
   2.5375474161630491E-003   1.7213945909781671E-016  -6.9896165107818060     
   3.4162283292333276E-003   2.4415262784888513E-016  -6.9896165107818060     
   4.4250827356027778E-003   3.2649070066126105E-016  -6.9896165107818060     
   5.5641097560170704E-003   4.1739531896013558E-016  -6.9896165107818060     
   6.8333084637588410E-003   5.0763850781661699E-016  -6.9896165107818060     
   8.2326778585848203E-003   6.0576603631849305E-016  -6.9896165107818060     
   9.7622168548459325E-003   7.1837225318567431E-016  -6.9896165107818060     
   1.1421924275535542E-002   8.4158345458964898E-016  -6.9896165107818060     
   1.3211798849181503E-002   1.0175819765966479E-015  -6.9896165107818060     
   1.5131839208037567E-002   1.1878202280807933E-015  -6.9896165107818060     
   1.7182043887089361E-002   1.3496424215067101E-015  -6.9896165107818060     
   1.9362411323375954E-002   1.5357603957268938E-015  -6.9896165107818060     
   2.1672939855579474E-002   1.7698430563092429E-015  -6.9896165107818060     
   2.4113627723768766E-002   1.9424612158853021E-015  -6.9896165107818060     
   2.6684473069168706E-002   2.1895897516438731E-015  -6.9896165107818060     
   2.9385473934050280E-002   2.3631657410379359E-015  -6.9896165107818060     
   3.2216628261598802E-002   2.6279686864381319E-015  -6.9896165107818060     
   3.5177933895817394E-002   2.8830707525306295E-015  -6.9896165107818060     
   3.8269388581484570E-002   3.0787801943565884E-015  -6.9896165107818060     
   4.1490989964052108E-002   3.3228715285893357E-015  -6.9896165107818060     
   4.4842735589611223E-002   3.6011936103923224E-015  -6.9896165107818060     
   4.8324622904818065E-002   3.8585767670931117E-015  -6.9896165107818060     
   5.1936649256849543E-002   4.1028587680204001E-015  -6.9896165107818060     
   5.5678811893361116E-002   4.3730016902629017E-015  -6.9896165107818060     
   5.9551107962399055E-002   4.6669716353544256E-015  -6.9896165107818060     
   6.3553534512395288E-002   4.8985912960463147E-015  -6.9896165107818060     
   6.7686088492078841E-002   5.1542365791580753E-015  -6.9896165107818060     
   7.1948766750436446E-002   5.3351458203615396E-015  -6.9896165107818060     
   7.6341566036661174E-002   5.6257858460061252E-015  -6.9896165107818060     
   8.0864483000088402E-002   5.8637569442518138E-015  -6.9896165107818060     
   8.5517514190152980E-002   6.0548185371213088E-015  -6.9896165107818060     
   9.0300656056310186E-002   6.3078631641908268E-015  -6.9896165107818060     
   9.5213904947996683E-002   6.5895724694073626E-015  -6.9896165107818060     
  0.10025725711456478        6.7376029287711826E-015  -6.9896165107818060     
  0.10543070870521409        6.8749895053966876E-015  -6.9896165107818060     
  0.11073425576892969        7.0246964839687464E-015  -6.9896165107818060     
  0.11616789425443175        7.1768367682925507E-015  -6.9896165107818060     
  0.12173162001007971        7.2853800310975643E-015  -6.9896165107818060     
  0.12742542878383983        7.4895198083422872E-015  -6.9896165107818060     
  0.13324931622318870        7.6681178031729879E-015  -6.9896165107818060     
  0.13920327787504663        7.7605393672378830E-015  -6.9896165107818060     
  0.14528730918572275        7.8980521925584102E-015  -6.9896165107818060     
  0.15150140550081456        8.0448199877876550E-015  -6.9896165107818060     
  0.15784556206515210        8.0575654331703899E-015  -6.9896165107818060     
  0.16431977402271561        8.2181491337157342E-015  -6.9896165107818060     
  0.17092403641655010        8.2288434011912068E-015  -6.9896165107818060     
  0.17765834418869189        8.3940949858683889E-015  -6.9896165107818060     
  0.18452269218007758        8.5576597843506818E-015  -6.9896165107818060     
  0.19151707513047880        8.7627349449438814E-015  -6.9896165107818060     
  0.19864148767839657        8.8614599638441352E-015  -6.9896165107818060     
  0.20589592436097590        9.0622940534083651E-015  -6.9896165107818060     
  0.21328037961393725        9.1990315957550610E-015  -6.9896165107818060     
  0.22079484777146180        9.3985152627654375E-015  -6.9896165107818060     
  0.22843932306611725        9.5193920976043468E-015  -6.9896165107818060     
  0.23621379962875186        9.6744336497557117E-015  -6.9896165107818060     
  0.24411827148840476        9.7504163108638124E-015  -6.9896165107818060     
  0.25215273257221382        9.8787912431649836E-015  -6.9896165107818060     
  0.26031717670531063        9.9298039265853657E-015  -6.9896165107818060     
  0.26861159761072256        1.0048312800969593E-014  -6.9896165107818060     
  0.27703598890927178        1.0078941112858951E-014  -6.9896165107818060     
  0.28559034411947171        1.0184822472278633E-014  -6.9896165107818060     
  0.29427465665742047        1.0176049614395238E-014  -6.9896165107818060     
  0.30308891983670122        1.0078779200132795E-014  -6.9896165107818060     
  0.31203312686826484        9.9030899192229465E-015  -6.9896165107818060     
  0.32110727086032509        9.6827899100130940E-015  -6.9896165107818060     
  0.33031134481824975        9.4383924431519642E-015  -6.9896165107818060     
  0.33964534164444066        9.3995761705616140E-015  -6.9896165107818060     
  0.34910925413823357        9.2940327481706035E-015  -6.9896165107818060     
  0.35870307499575804        9.3111258970774134E-015  -6.9896165107818060     
  0.36842679680984175        9.1217722891897384E-015  -6.9896165107818060     
  0.37828041206988283        8.9974318830796574E-015  -6.9896165107818060     
  0.38826391316173059        8.7069907088563432E-015  -6.9896165107818060     
  0.39837729236756114        8.5307574090305123E-015  -6.9896165107818060     
  0.40862054186575220        8.3577919305525704E-015  -6.9896165107818060     
  0.41899365373075881        8.1555485874169176E-015  -6.9896165107818060     
  0.42949661993298649        7.8065633411735037E-015  -6.9896165107818060     
  0.44012943233866131        7.5178705349026119E-015  -6.9896165107818060     
  0.45089208270970282        7.1898424595243252E-015  -6.9896165107818060     
