32.8625	425.5	5	358.8	5
33.8625	332.7	5	279.4	5
34.3625	277.7	5	230.5	5
34.8625	223.6	5	189.2	5
35.0625	204.8	5	176.5	5
35.2625	195.5	5	171	5
35.4625	169.7	5	153.5	5
35.6625	154.3	5	144.4	5
35.8625	141.2	5	139.2	5
36.0625	131.4	5	138.5	5
36.2625	126.3	5	141.9	5
36.4625	126.5	5	147.5	5
36.6625	132.3	5	156.6	5
36.8625	141.2	5	168.2	5
37.0625	152.1	5	181.6	5
37.2625	164.9	5	194.8	5
37.4625	206.1	5	176	5
37.6625	189.5	5	217.5	5
37.8625	202.2	5	230.2	5
38.3625	231	5	257.1	5
38.8625	260.8	5	284.7	5
39.8625	333.3	5	342.3	5
